Date,Symbol,Close,High,Low,Open,Volume,day_of_week,is_weekend,days_since_last_trade
2022-10-30,GOOGL,95.71595764,,,,,6,True,2
2022-11-06,GOOGL,86.06384277,,,,,6,True,2
2022-11-13,GOOGL,95.83525085,,,,,6,True,2
2022-11-20,GOOGL,96.84915924,,,,,6,True,2
2022-11-27,GOOGL,96.87898254,,,,,6,True,2
2022-12-04,GOOGL,99.84122467,,,,,6,True,2
2022-12-11,GOOGL,92.27658081,,,,,6,True,2
2022-12-18,GOOGL,89.72190857,,,,,6,True,2
2022-12-25,GOOGL,88.69805145,,,,,6,True,2
2023-01-01,GOOGL,87.70401764,,,,,6,True,2
2023-01-08,GOOGL,86.81931305,,,,,6,True,2
2023-01-15,GOOGL,91.57081604,,,,,6,True,2
2023-01-22,GOOGL,97.4356308,,,,,6,True,2
2023-01-29,GOOGL,98.77760315,,,,,6,True,2
2023-02-05,GOOGL,104.1553421,,,,,6,True,2
2023-02-12,GOOGL,94.00621033,,,,,6,True,2
2023-02-19,GOOGL,93.78752136,,,,,6,True,2
2023-02-26,GOOGL,88.59864807,,,,,6,True,2
2023-03-05,GOOGL,93.09169769,,,,,6,True,2
2023-03-12,GOOGL,90.08969879,,,,,6,True,2
2023-03-19,GOOGL,101.0141907,,,,,6,True,2
2023-03-26,GOOGL,104.8114166,,,,,6,True,2
2023-04-02,GOOGL,103.1116104,,,,,6,True,2
2023-04-08,GOOGL,107.7736359,,,,,5,True,2
2023-04-09,GOOGL,107.7736359,,,,,6,True,3
2023-04-16,GOOGL,108.2209625,,,,,6,True,2
2023-04-23,GOOGL,104.7815933,,,,,6,True,2
2023-04-30,GOOGL,106.7000809,,,,,6,True,2
2023-05-07,GOOGL,104.9406357,,,,,6,True,2
2023-05-14,GOOGL,116.8094635,,,,,6,True,2
2023-05-21,GOOGL,122.0281601,,,,,6,True,2
2023-05-28,GOOGL,123.8671341,,,,,6,True,2
2023-06-04,GOOGL,123.9267654,,,,,6,True,2
2023-06-11,GOOGL,121.5013199,,,,,6,True,2
2023-06-18,GOOGL,122.7935638,,,,,6,True,2
2023-06-25,GOOGL,121.6106567,,,,,6,True,2
2023-07-02,GOOGL,118.9863892,,,,,6,True,2
2023-07-09,GOOGL,118.7677231,,,,,6,True,2
2023-07-16,GOOGL,124.6722946,,,,,6,True,2
2023-07-23,GOOGL,119.3044891,,,,,6,True,2
2023-07-30,GOOGL,131.7896118,,,,,6,True,2
2023-08-06,GOOGL,127.3462601,,,,,6,True,2
2023-08-13,GOOGL,128.7875977,,,,,6,True,2
2023-08-20,GOOGL,126.7001266,,,,,6,True,2
2023-08-27,GOOGL,129.1057129,,,,,6,True,2
2023-09-03,GOOGL,134.8512573,,,,,6,True,2
2023-09-10,GOOGL,135.5669556,,,,,6,True,2
2023-09-17,GOOGL,136.5808716,,,,,6,True,2
2023-09-24,GOOGL,129.4735107,,,,,6,True,2
2023-10-01,GOOGL,130.0798645,,,,,6,True,2
2023-10-08,GOOGL,136.7597961,,,,,6,True,2
2023-10-15,GOOGL,136.5411072,,,,,6,True,2
2023-10-22,GOOGL,134.791626,,,,,6,True,2
2023-10-29,GOOGL,121.4416656,,,,,6,True,2
2023-11-05,GOOGL,128.330368,,,,,6,True,2
2023-11-12,GOOGL,131.7995453,,,,,6,True,2
2023-11-19,GOOGL,134.5033417,,,,,6,True,2
2023-11-26,GOOGL,135.8751068,,,,,6,True,2
2023-12-03,GOOGL,131.0738983,,,,,6,True,2
2023-12-10,GOOGL,134.1852264,,,,,6,True,2
2023-12-17,GOOGL,131.809494,,,,,6,True,2
2023-12-24,GOOGL,140.6464996,,,,,6,True,2
2023-12-31,GOOGL,138.8572388,,,,,6,True,2
2024-01-07,GOOGL,134.9208221,,,,,6,True,2
2024-01-14,GOOGL,141.7995911,,,,,6,True,2
2024-01-21,GOOGL,145.5073547,,,,,6,True,2
2024-01-28,GOOGL,151.2826996,,,,,6,True,2
2024-02-04,GOOGL,141.531189,,,,,6,True,2
2024-02-11,GOOGL,148.1117096,,,,,6,True,2
2024-02-18,GOOGL,139.6822968,,,,,6,True,2
